station,boardings_all,alightings_all,throughput_all,days_all,boardings_weekday,alightings_weekday,throughput_weekday,days_weekday,boardings_weekend,alightings_weekend,throughput_weekend,days_weekend,boarding_share,weekend_ratio,first_active,active_days,growth_ratio,opened_mid_window,low_coverage,is_mature
Yeshwantpur,13878.9375,14604.666666666666,28483.604166666668,48,13892.5,14667.941176470587,28560.441176470587,34,13846.0,14451.0,28297.0,14,0.48642455885608954,0.9907760116574241,2025-08-01,48,0.9877921357898327,False,False,True
"Sir M. Visvesvaraya Stn., Central College",11815.0,12483.833333333334,24298.833333333332,48,13830.735294117647,14674.0,28504.735294117647,34,6919.642857142857,7164.857142857143,14084.5,14,0.48520833999717283,0.4941108856010508,2025-08-01,48,1.0271624567870006,False,False,True
Jayanagar,13381.229166666666,13690.270833333334,27071.5,48,13775.20588235294,13982.117647058823,27757.323529411766,34,12424.42857142857,12981.5,25405.928571428572,14,0.49627284373281455,0.9152874031427545,2025-08-01,48,1.003572391123982,False,False,True
National College,12669.520833333334,13127.395833333334,25796.916666666668,48,13695.970588235294,14198.0,27893.970588235294,34,10176.714285714286,10527.357142857143,20704.071428571428,14,0.49100111240569594,0.7422418175669722,2025-08-01,48,1.1799597174058996,False,False,True
"Dr. B. R. Ambedkar Station, Vidhana Soudha",11505.25,11411.875,22917.125,48,13358.941176470587,13380.823529411764,26739.764705882353,34,7003.428571428572,6630.142857142857,13633.57142857143,14,0.4995908274963923,0.5098613087486236,2025-08-01,48,1.0237888942687494,False,False,True
Kadugodi Tree Park,12026.291666666666,11100.854166666666,23127.145833333332,48,13325.411764705883,12390.882352941177,25716.29411764706,34,8871.285714285714,7967.928571428572,16839.214285714286,14,0.5181699860697154,0.6548071898959525,2025-08-01,48,1.0113142418818715,False,False,True
Chickpete,15372.0,16498.270833333332,31870.270833333332,48,13075.117647058823,14025.70588235294,27100.823529411766,34,20950.14285714286,22503.071428571428,43453.21428571428,14,0.4824620046275998,1.603390916831576,2025-08-01,48,1.0342997932969142,False,False,True
Vijayanagar,11564.291666666666,12687.041666666666,24251.333333333332,48,12763.058823529413,14059.14705882353,26822.20588235294,34,8653.0,9354.785714285714,18007.785714285714,14,0.47583926838495316,0.6713760155772097,2025-08-01,48,1.0494217924434255,False,False,True
Banashankari,12105.083333333334,12263.708333333334,24368.791666666668,48,12607.617647058823,12714.617647058823,25322.235294117647,34,10884.642857142857,11168.642857142857,22053.285714285714,14,0.4978872323324305,0.8709059630059077,2025-08-01,48,0.9434145278186474,False,False,True
Krantivira Sangolli Rayanna Railway Station,12161.083333333334,13746.979166666666,25908.0625,48,12488.235294117647,14260.29411764706,26748.529411764706,34,11366.57142857143,12500.357142857143,23866.928571428572,14,0.466875584144263,0.8922706816521759,2025-08-01,48,0.9814645459381593,False,False,True
Konanakunte Cross,12256.520833333334,12059.75,24316.270833333332,48,12052.20588235294,11925.79411764706,23978.0,34,12752.714285714286,12385.07142857143,25137.785714285714,14,0.5026359947599024,1.0483687427761161,2025-08-01,48,0.9934124601883464,False,False,True
Dasarahalli,11384.916666666666,10589.208333333334,21974.125,48,11841.617647058823,11066.676470588236,22908.29411764706,34,10275.785714285714,9429.642857142857,19705.428571428572,14,0.5169139869710687,0.8601875141915867,2025-08-01,48,1.0321370711012212,False,False,True
Rajajinagar,10949.958333333334,11581.916666666666,22531.875,48,11714.70588235294,12387.970588235294,24102.676470588234,34,9092.714285714286,9624.357142857143,18717.071428571428,14,0.48603340366154113,0.7765557261415056,2025-08-01,48,1.0582421320101638,False,False,True
